x,y,yDot,yDDot
1.66,0.47728923,4.959768,-12.384943
1.67,0.5261069,4.787697,-22.029316
1.68,0.5727216,4.5191817,-31.673687
1.69,0.61616945,4.1542187,-41.318176
1.7,0.655485,3.6928155,-50.962547
1.71,0.68970424,3.1349685,-60.60692
1.72,0.7178628,2.4806783,-70.25129
1.73,0.73899627,1.7299441,-79.89566
1.74,0.75214016,0.8827665,-89.54004
1.75,0.75658405,0.039717663,-72.63326
1.76,0.753773,-0.55959886,-47.230156
1.77,0.7462389,-0.9048845,-21.827047
1.78,0.7365221,-0.9961394,3.5760596
1.79,0.72716284,-0.8333634,28.979166
1.8,0.7207016,-0.4165566,54.382275
1.81,0.7196785,0.25428104,79.78538
1.82,0.7266341,1.179162,105.18879
1.83,0.7441085,2.3580644,130.5919
1.84,0.7746421,3.7909975,155.99501
1.85,0.8204712,5.339088,139.09526
1.86,0.88016635,6.534904,100.06817
1.87,0.94986826,7.3404493,61.04108
1.88,1.0256743,7.7557244,22.013988
1.89,1.1036817,7.780729,-17.013103
1.9,1.1799878,7.4154625,-56.040195
1.91,1.25069,6.659926,-95.06728
1.92,1.3118854,5.5141187,-134.09438
1.93,1.3596714,3.978041,-173.12148
1.94,1.3901454,2.0516675,-212.14903
1.95,1.3996416,-0.13676378,-205.02725
1.96,1.3887566,-1.9668343,-160.98718
1.97,1.3617729,-3.3565044,-116.94712
1.98,1.3230946,-4.3057747,-72.90705
1.99,1.2771255,-4.8146443,-28.866987
2.0,1.2282698,-4.883114,15.17308
2.01,1.1809313,-4.511183,59.213146
2.02,1.1395142,-3.6988518,103.25321
2.03,1.1084224,-2.4461205,147.29329
2.04,1.0920599,-0.752989,191.33334
2.05,1.0947104,1.3011632,200.44601
2.06,1.1171975,3.1416166,167.64505
2.07,1.1564492,4.654061,134.84409
2.08,1.2091854,5.8384957,102.04311
2.09,1.2721257,6.694921,69.24215
2.1,1.3419902,7.223337,36.441185
2.11,1.415499,7.423744,3.6402192
2.12,1.4893717,7.2961416,-29.160746
2.13,1.5603299,6.840515,-61.962494
2.14,1.6250902,6.056886,-94.76346
2.15,1.6804048,4.9712768,-112.83977
2.16,1.724623,3.8871183,-103.99215
2.17,1.758442,2.8914359,-95.14453
2.18,1.7827466,1.9842296,-86.29691
2.19,1.7984215,1.1654993,-77.449295
2.2,1.8063515,0.43524513,-68.60168
2.21,1.8074213,-0.20653294,-59.75406
2.22,1.8025157,-0.7598349,-50.90644
2.23,1.7925196,-1.2246608,-42.058823
2.24,1.7783175,-1.6010106,-33.211205
2.25,1.7607956,-1.8872701,-23.085138
2.26,1.7410005,-2.04857,-9.174867
2.27,1.7202879,-2.0707672,4.7354045
2.28,1.7000489,-1.953862,18.645676
2.29,1.6816745,-1.697854,32.555946
2.3,1.6665555,-1.3027436,46.466217
2.31,1.6560832,-0.76853055,60.376488
2.32,1.6516486,-0.095214956,74.28676
2.33,1.6546427,0.71720326,88.19703
2.34,1.6664563,1.668724,102.1073
2.35,1.6884778,2.7534437,108.22441
2.36,1.7207979,3.6480482,70.69662
2.37,1.7601877,4.1673746,33.168823
2.38,1.8028954,4.311423,-4.3598647
2.39,1.8451662,4.0801854,-41.887657
2.4,1.8832482,3.4736705,-79.41545
2.41,1.9133886,2.491878,-116.943245
2.42,1.9318348,1.1348078,-154.47104
2.43,1.9348339,-0.59753984,-191.99884
2.44,1.9186331,-2.7051651,-229.52663
2.45,1.8794799,-5.186883,-262.3621
2.46,1.8154159,-7.533645,-206.99081
2.47,1.7306528,-9.326695,-151.61952
2.48,1.6307278,-10.566033,-96.24824
2.49,1.521178,-11.251658,-40.87695
2.5,1.4075406,-11.383571,14.49434
2.51,1.2953526,-10.961772,69.86563
2.52,1.1901511,-9.986259,125.236916
2.53,1.0974733,-8.457036,180.6082
2.54,1.0228562,-6.3740993,235.97949
2.55,0.9718371,-3.7374504,291.35077
2.56,0.9484133,-1.0335608,244.2519
2.57,0.9494145,1.1462065,191.70195
2.58,0.9695858,2.8004744,139.15198
2.59,1.0036722,3.9292433,86.60202
2.6,1.0464189,4.532513,34.052055
2.61,1.0925708,4.610284,-18.497908
2.62,1.1368729,4.162555,-71.047874
2.63,1.1740708,3.1892984,-123.59908
2.64,1.1989081,1.6905591,-176.14905
2.65,1.2061304,-0.33367926,-228.699
2.66,1.1913497,-2.576884,-208.99556
2.67,1.1556747,-4.5038133,-176.39066
2.68,1.1023605,-6.104694,-143.78575
2.69,1.0346677,-7.3795257,-111.18085
2.7,0.9558569,-8.328309,-78.57594
